Code Client,Intitulé,Tél 1,Tél 2,Profession,Société,Mail,Adresse
41100053,STE IBN KHALDOUN SOUASSI,98 328 411,,,STE IBN KHALDOUN SOUASSI,,
41100054,ETS EL JAWHAR TATAOUIN,75 860 909,,MR DHAFER MOUSSA,ETS EL JAWHAR TATAOUIN,,RUE ECHOUHADA TATAOUIN
41100055,STE JAWHARA TATAOUINE,,,,STE JAWHARA TATAOUINE,,
41100056,TEBR ELLIL TOZEUR,76 460 122,20 917 858,MME YOSR,TEBR ELLIL TOZEUR,,CITE DE L'HOPITAL 2200 TOZEUR
41100057,LE PROGRES TUNIS,,,,LE PROGRES TUNIS,,
41100058,IBN KHALDOUN TUNIS,71 338 147,24 336 183,MR MAHMOUD BEDREDDINE,IBN KHALDOUN TUNIS,,25 AV BOUGUAIRA SIDI EL BECHIR TUNIS
41100059,SOBBIS TUNIS,71 352 567,98 316 205,MR LAMINE,SOBBIS TUNIS,,2 RUE ALI RIAHI MONTFLEURI 1008 TUNIS
41100060,ETS KASTALLI TUNIS,71 345 628,98 423 418,MR RIDHA KASTALLI,ETS KASTALLI TUNIS,,25 RUE ALI TRAD MONFLEURI TUNIS 1008
41100061,STE RAOUI TUNIS,71 339 634,98 306 696,MR BOURAOUI,STE RAOUI TUNIS,,46 RUE BEB JEDID TUNIS
41100062,STE YAN TUNIS,71 365 415,98 237 155,---,STE YAN TUNIS,,MOUROUJ 1 CENTRE BOUKHRISS TUNIS
41100063,STE BEN MARZOUK TUNIS,71 382 432,98 692 591,MR FAOUZI 25 450 760,STE BEN MARZOUK TUNIS,,22 RUE KHAIREDDINE BECHA TUNIS
41100064,STE EL AWDA TUNIS,26 316 892,,MR FAYCEL ABBES,STE EL AWDA TUNIS,,17 RUE DE LA REPUBLIQUE BEN AROUS TUNIS
41100065,STE AYOUB NASR TUNIS,71 429 766,,MR AYOUB NASR,STE AYOUB NASR TUNIS,,
41100066,STAB TUNIS,97 612 624,,,STAB TUNIS,,
41100067,STE BOUASSIDA TUNIS,71 483 022,98 513 808,MR OTHMEN BOUASSIDA,STE BOUASSIDA TUNIS,,11 RUE MICHAIN 1008 MONTEFLEURY TUNIS
41100068,S B I TUNIS,71 603 099,25 022 600,MR TAREK MEDIOUNI,S B I TUNIS,,RUE MATER KM 8 2010 MANOUBA TUNIS
41100069,STE SLASS TUNIS,71 651 444,98 320 229,MR ZAGHDOUDI ABDELWAHEB,STE SLASS TUNIS,,18 RUE DE L'IMPRIMERIE KSAR SAID CP 2086 TUNIS
41100070,DAR YASSINE TUNIS,71 661 670,97 578 326,,DAR YASSINE TUNIS,,67 AV 20 MARS BARDO TUNIS
41100071,STE FADHL TUNIS,22 930 476,71 664 297,---,STE FADHL TUNIS,,6 RUE DE SALAMBOU BARDO
41100072,STE NEHIL TUNIS,23 316 501,,,STE NEHIL TUNIS,,
41100073,STE ACHOURIA TUNIS,20 350 651,71 709 825,,STE ACHOURIA TUNIS,,
41100074,STE GRANDIS TUNIS,71 711 888,71 710 808,MR HAYTHEM ROMDHAN 24 111 888/24 311 888,STE GRANDIS TUNIS,,40 AV FARHAT HACHED 2080 ARIANA
41100075,STE TOP TEAM TUNIS,,,,STE TOP TEAM TUNIS,,
41100076,STE ZRIBI TUNIS,71 933 691,98 200 878,MR MED LAMIN ZEREDI,STE ZRIBI TUNIS,,AV ETTADHAMEN TUNIS
41100077,MAARIFA DISTR TUNIS,71 973 406,98 323 786,MR ISSAM,MAARIFA DISTR TUNIS,,25 AV MED EL HARSI EL KRAM TUNIS
41100078,IBN ROCHD TUNIS,22 939 460,,,IBN ROCHD TUNIS,,
41100079,STE LES AILES D'OR TUNIS,71 391 189,,MR NOUIRA,STE LES AILES D'OR TUNIS,,34 AV ESSAHEL TUNIS
41100080,SOTEFI DISTRIBUTION ARIANA,70.681399,70.681775,MR HAFEDH,SOTEFI DISTRIBUTION ARIANA,,N 5 IMPASSE DE L U M A 2036 LA SOUKRA ARIANA
41100081,STIS NEGOCE BIC,71 428 511,71428627,MR MONDHER ZGAL 98 311 000,STIS NEGOCE BIC,,7 AV TAHARCBEN AMMAR B .P 119-2092EL MANAR II TUNIS
41100082,LIB AVICENNE TUNIS,20 384 450,,,LIB AVICENNE TUNIS,,
41100083,STE ALPHA TRIDING TUNIS,71 955 485,24 435 350,MR LASSAD ABDELMOULA,STE ALPHA TRIDING TUNIS,,25 RUE 8601 CARTHAGE TUNIS
41100084,L'UNIVERS BUREAUTIQUE TUNIS,,,,L'UNIVERS BUREAUTIQUE TUNIS,,
41100085,ALWIFAK DICISION TUNIS,,,MR NOUREDDINE IDAWI,ALWIFAK DICISION TUNIS,,
41100086,COMPTOIR TUN PAPIER TUNIS,70 838 024,98 305 514,MR BOURICHA KHALED,COMPTOIR TUN PAPIER TUNIS,,Z. I. CHARGUIA 2
41100087,L'UNIVERS DE LIVRE,98.354.395,,,L'UNIVERS DE LIVRE,,
41100088,ECO PRIM ELMZAWGA NORD MANZEL HEYET,,,,ECO PRIM ELMZAWGA NORD MANZEL HEYET,,MANZEL HEYET
4110009,STE OMRANE GABES,75 274 730,,MR OMRANE RAFAA,STE OMRANE GABES,,
41109233,COLLEGE PRIVEE BOREJ EL ELEM MONASTIR,,,,COLLEGE PRIVEE BOREJ EL ELEM MONASTIR,,ESSOUANI
41110001,MUNICIPALITE DE CHORBANE,,,,MUNICIPALITE DE CHORBANE,,CHORBANE
41110002,C S A BOUMERDES,,,,C S A BOUMERDES,,BOUMERDES
41110003,HOPITAL HBIRA,,,,HOPITAL HBIRA,,HBIRA
41110004,C S F H MONASTIR,,,,C S F H MONASTIR,,MONSTIR
41110006,GOUVERNORAT MONASTIR,73.461433,73.461433,95 204 823 MR FETHI 97557602,GOUVERNORAT MONASTIR,,MONASTIR
41110007,SODIBOIS KSIBET EL MEDIOUNI,73.440044,,,SODIBOIS KSIBET EL MEDIOUNI,,KSIBET EL MEDIOUNI MONASTIR
41110008,GOUVERNORAT MONASTIR (SEC.POLICE),73.461431,,MR NABIL EL MALEH 98545953,GOUVERNORAT MONASTIR (SEC.POLICE),,MONASTIR
41110009,DIREC REG DES POSTES MONASTIR,73460299,73504850,,DIREC REG DES POSTES MONASTIR,,MONASTIR
41110011,AGENCE T. DE F. PROF MONASTIR,,,,AGENCE T. DE F. PROF MONASTIR,,MONASTIR
41110012,TUNISIE TELECOM DISTRI MONASTIR,73.487 550,73.50137,96.942200 BDIOUI MED HEDI 73.501650-501555---ADEL 73.501717 POST 229,TUNISIE TELECOM DISTRI MONASTIR,,MONASTIR
41110013,RADIO MONSTIR,73 462 900,,SSALEM-FETHI BOUZID 97.257032-MOHAMED ATIA,RADIO MONSTIR,,AVENUE HABIB BOURGUI
41110014,COMPLEXE TUNISIEN DE CHIMIE,,,,COMPLEXE TUNISIEN DE CHIMIE,,RUE SLIMEN BEN SLIME
41110015,O P A T MONASTIR,,,,O P A T MONASTIR,,AEOROPORT SKANES
41110016,HOPITAL DE CIRCON KSIBET EL MEDIOUNI,,,,HOPITAL DE CIRCON KSIBET EL MEDIOUNI,,KSIBET EL MEDIOUNI
41110017,GOUVERNORAT MONASTIR (BOP),,,,GOUVERNORAT MONASTIR (BOP),,MONASTIR
41110018,PRISON  MONASTIR,73.530334,96 684 612,,PRISON  MONASTIR,,KHNISS
41110019,COMMISARIAT REG DE L'EDUCATION MONASTIR,73 461 662,,FINAN.(MR BARHOUMI 99106555,COMMISARIAT REG DE L'EDUCATION MONASTIR,,AVENUE LYBIE 5000
41110020,CENTRE DE FOR.PRO.PECHE TEBO,73.479 422,,,CENTRE DE FOR.PRO.PECHE TEBO,,SOKRINE 5080
41110021,CENTRE DE FOR.PRO.PECHE MONASTIR,3 461 423,,,CENTRE DE FOR.PRO.PECHE MONASTIR,,STAH JABER
41110022,HOPITAL DE BEKALTA,BEKALTA,,,HOPITAL DE BEKALTA,,RUE FARHET HACHETTE
41110026,COMPT BUREAUTIQUE INFORMATIQUE,73 448 700,,,COMPT BUREAUTIQUE INFORMATIQUE,,IMM CHERAKA N5
41110028,O T C MONASTIR,73.461 549,,,O T C MONASTIR,,R 6 BATIMENT N7
41110029,GOUVERNORAT MONASTIR( GARDE NAT),73 461 022,73 505 405,,GOUVERNORAT MONASTIR( GARDE NAT),,MONASTIR
41110030,C R P ACTIVE JEUNE MONASTIR,,,,C R P ACTIVE JEUNE MONASTIR,,MONASTIR
41110031,MUNICIPALITE DE AMIRAT TOUAZRA,,,,MUNICIPALITE DE AMIRAT TOUAZRA,,AMIRAT TOUAZRA
41110032,CSP HASSSEN HOUAS MONASTIR,,,,CSP HASSSEN HOUAS MONASTIR,,MONASTIR
41110033,SKANES MEUBLE MONASTIR,73 501 333,,,SKANES MEUBLE MONASTIR,,ROUTE SOUSSE SKANES
41110034,SPORTIVE DOUANE MONASTIR,,,RRAZAK,SPORTIVE DOUANE MONASTIR,,MONASTIR
41110035,MUNICIPALITE DE MONASTIR,73 460 345,73 461 201,,MUNICIPALITE DE MONASTIR,,MUNICIPALITE DE MONASTIR
41110036,OFFICE NATION FAMILLE POP,73.461954,,,OFFICE NATION FAMILLE POP,,?
41110037,PROTECTION CIVILE MONASTIR,,,,PROTECTION CIVILE MONASTIR,,MONASTIR
41110038,GOUVERNORAT MONATIR G.N.SEC MARITIM,73 449 780,,,GOUVERNORAT MONATIR G.N.SEC MARITIM,,MONASTIR
41110039,MUNICIPALITE DE AMIRET FHOULE,73.694316,73403316,MR HEDI MAATALLAH 96065365,MUNICIPALITE DE AMIRET FHOULE,,AVENUE 7 NOVEMBRE 50
41110040,MUNICIPALITE DE MOOTMAR,,,,MUNICIPALITE DE MOOTMAR,,MONASTIR
41110041,MUNICIPALITE DE SIDI BANNOUR,73406105,,,MUNICIPALITE DE SIDI BANNOUR,,SIDI BANNOUR
41110042,MUNICIPALITE DE AMIRAT HOJJAJ,,,,MUNICIPALITE DE AMIRAT HOJJAJ,,AMIRET HOJJAJ MONASTIR
41110043,MUNICIPALITE DE MENZEL FERSI,,,,MUNICIPALITE DE MENZEL FERSI,,MENZEL FERSI MOKNIN
41110044,MUNICIPALITE DE CHRAHILE,,,,MUNICIPALITE DE CHRAHILE,,MAHDIA
41110045,MINISTERE DE L'EQUIPEMENT ET,,,,MINISTERE DE L'EQUIPEMENT ET,,TUNIS
41110046,CENTRE REG EDUC FOR CONT MONASTIR,73.463588,,,CENTRE REG EDUC FOR CONT MONASTIR,,MONASTIR
41110047,ARIG KSAR HELEL,,,,ARIG KSAR HELEL,,ABDELHAMID GHADDAB KSAR HELEL
41110048,HOPITAL DE MOKNIN,,,,HOPITAL DE MOKNIN,,HOPITAL MOKNIN
41110052,U T I C A-IFTI- MONASTIR,73461681,,MR ADEL 98406183,U T I C A-IFTI- MONASTIR,,U T I C A MONASTIR
41110053,DIREC REG DE COMMERCE MONASTIR,73 464 240,,INIE,DIREC REG DE COMMERCE MONASTIR,,MONASTIR
41110054,MUNICIPALITE DE BEMBLA ET MNARA,73 478 308,73 478 506,MR RIADH EL HATTAB,MUNICIPALITE DE BEMBLA ET MNARA,,MUNICIPALITE DE BEMBLA ET MNARA
41110055,UNION TINISIEN SOLIDARITE SOUSSE,,,,UNION TINISIEN SOLIDARITE SOUSSE,,SOUSSE
41110056,MUNICIPALITE ZARAMDINE,,,,MUNICIPALITE ZARAMDINE,,MUNICIPALITE ZRAMDINE
41110057,MUNICIPALITE DE BIR EL HFAY,,,,MUNICIPALITE DE BIR EL HFAY,,MUNICIPALITE DE BIR EL HFAY
41110058,COMMITE CULTUREL ZAOUIET KONTECH,,,,COMMITE CULTUREL ZAOUIET KONTECH,,COMMITE CULTUREL ZAOUIET KONTECH
41110059,MUNICIPALITE DE KHNIS,73.535801,,MADAME SABEH,MUNICIPALITE DE KHNIS,,MUNICIPALITE DE KHNIS
41110060,MUNICIPALITE DE SAHLINE MAATMAAR,73.527295,,,MUNICIPALITE DE SAHLINE MAATMAAR,,AVENUE 7 NOVEMBRE 50
41110062,DIREC REG DE L EQUIPEMENT MONASTIR,73.4609,98.541506,,DIREC REG DE L EQUIPEMENT MONASTIR,,MONASTIR
41110063,BUREAU DES DOUANES,,,,BUREAU DES DOUANES,,?
41110064,CELLULE RCD CITE EL OMRANE MONASTIR,,,,CELLULE RCD CITE EL OMRANE MONASTIR,,CITE EL OMRANE MONASTIR
41110065,CENTRE CULTUREL UNIVERSITAIRE,73 463 844,,,CENTRE CULTUREL UNIVERSITAIRE,,MONASTIR
41110066,CENTRE DE FOR.PRO.WARDANIN,,,,CENTRE DE FOR.PRO.WARDANIN,,WARDANIN
41110067,COM REG SOLIDARITE MONASTIR,,,,COM REG SOLIDARITE MONASTIR,,MONASTIR
41110068,COM LOC SOLIDARITE MONASTIR,98.407604,,,COM LOC SOLIDARITE MONASTIR,,MONASTIR
41110069,C R D A MONASTIR,73461828,73.530468,,C R D A MONASTIR,,MONASTIR
41110070,COMMITE CUL.LOCAL  DE SAYADA,,,,COMMITE CUL.LOCAL  DE SAYADA,,SAYADA
41110071,MUNICIPALITE DE BRADAA,,,,MUNICIPALITE DE BRADAA,,MUNICIPALITE DE BRADAA
41110072,CENTRE DES IMPOTS MONASTIR,73 462 641,,,CENTRE DES IMPOTS MONASTIR,,MONASTIR
41110073,MUNICIPALITE DE BEKALTA,73.477 018,,,MUNICIPALITE DE BEKALTA,,BEKALTA
41110074,DIREC REG DE AFF.SOCI.MONASTIR,73.505 939,,,DIREC REG DE AFF.SOCI.MONASTIR,,MONASTIR
41110076,AGENCE.T.DE F.PROF BEMBLA,,,,AGENCE.T.DE F.PROF BEMBLA,,BEMBLA
41110077,HOPITAL HAJ ALI SOUA KSAR HELEL,73.475275,73.475 214,98.297047 SI JAMEL,HOPITAL HAJ ALI SOUA KSAR HELEL,,HOPITAL HAJ ALI SOUA  KSAR HELEL
41110078,HOPITAL DE TEBOULBA,,,,HOPITAL DE TEBOULBA,,TEBOULBA
41110079,GARDE NATIONAL MONASTIR,,,,GARDE NATIONAL MONASTIR,,GARDE NATIONAL MONASTIR
41110080,HOPITAL DE CIRCON. BOUHJAR,73.434153,,,HOPITAL DE CIRCON. BOUHJAR,,BOUHJAR
41110081,HOPITAL UNI.FATTOUMA.B.MONASTIR,73.461144,73 460 813,MONASTIR 447110 460.977-HATEM HASSIN 22.844229,HOPITAL UNI.FATTOUMA.B.MONASTIR,,HOPITAL UNI.FATTOUMA.B.MONASTIR
41110082,MUNICIPALITE DE BOUHJAR,98.239667,,,MUNICIPALITE DE BOUHJAR,,MUNICIPALITE DE BOUHJAR
41110083,OFFICE DE TUNISIEN A L'ETRAN,?,,,OFFICE DE TUNISIEN A L'ETRAN,,?
41110084,CENTRE INTEGRE JEUNESSE ET ENFANCE,73.461078,,,CENTRE INTEGRE JEUNESSE ET ENFANCE,,MONASTIR
41110085,CENTRE REG CONTR DES IMP MONASTIR,73 460 101,73 461 678,,CENTRE REG CONTR DES IMP MONASTIR,,MONASTIR
41110086,BUREAU DE EMPLOIE MONASTIR,73.462 633,,,BUREAU DE EMPLOIE MONASTIR,,MONASTIR
41110087,TRESORERIE REG MONASTIR,73 462 306,98 406 151,,TRESORERIE REG MONASTIR,,MONASTIR
41110088,C R D A SOUSSE,,,,C R D A SOUSSE,,SOUSSE
41110089,GROUPE DE SANTE BASE MONASTIR,73.464044,,HATEM,GROUPE DE SANTE BASE MONASTIR,,MONASTIR
41110091,S.T.E.G DISTRIC DE MONASTIR,,,,S.T.E.G DISTRIC DE MONASTIR,,MONASTIR
41110092,ECO PREP SIDI  BANNOUR,73 406 100,,MR AHMED 98.968.356/98.962.356,ECO PREP SIDI  BANNOUR,,SIDI  BANNOUR
41110093,BUREAU DE LEMPLOI MOKNIN,73.438 096,,,BUREAU DE LEMPLOI MOKNIN,,MOKNIN
41110095,SPROT ET LOISIR MONASTIR,,,,SPROT ET LOISIR MONASTIR,,MONASTIR
41110096,GOUVERNORAT MONASTIR (M.DE JEUNNE),,,,GOUVERNORAT MONASTIR (M.DE JEUNNE),,MONASTIR
41110097,MUNICIPALITE AINE JELOULA,73.264 036,,,MUNICIPALITE AINE JELOULA,,AINE JELOULA
41110098,GOUVERNORAT DE SOUSSE,73.225588,73 231 800,MR SAID 96 418 991,GOUVERNORAT DE SOUSSE,,GARE NATIONNAL  SOUSSE
41110099,BANQUE NATIONALE AGRICOLE,,,,BANQUE NATIONALE AGRICOLE,,RUE HEDI NOUIRA 1001
41110100,GOUVERNORAT DE KAIROUAN,,,,GOUVERNORAT DE KAIROUAN,,KAIROUAN
41110101,MARCHE D INERET NATIONAL,,,,MARCHE D INERET NATIONAL,,BIR EL KASSAA-SOTUMA
41110102,MINISTERE DE LA JUSTICE,71.788 724,71.388 606,,MINISTERE DE LA JUSTICE,,TUNIS
41110103,MUNICIPALITE DE JEMMAL,,,,MUNICIPALITE DE JEMMAL,,JEMMAL
41110104,MUNICIPALITE BENI HASSEN,73 490 508,99060721,MR HEDI MOULEZEM 99060721/MME CHERIF,MUNICIPALITE BENI HASSEN,,BENI HASSEN
41110105,MUNICIPALITE MENZEL HAYET,73 410 126,,,MUNICIPALITE MENZEL HAYET,,MENZEL HAYET AV.H BOUGUIBA
41110106,S N C F T MONASTIR,,,,S N C F T MONASTIR,,S N C F T MONASTIR
41110108,GOUVERNORAT DE MEDNINE,75.640 018,,,GOUVERNORAT DE MEDNINE,,GOUVERNERAT DE MEDNINE
41110109,ONAT ARTISANAT,,,,ONAT ARTISANAT,,MONASTIR
41110110,TRIBUNALE DE PREMIERE INSTANCE,,,,TRIBUNALE DE PREMIERE INSTANCE,,MONASTIR
41110111,CENTRE EL RAED JEMMAL,,,,CENTRE EL RAED JEMMAL,,AV. HABIB BOURGUIBA
41110112,G A T,73 462 237,,,G A T,,MONASTIR
41110113,OFFICE DE LA MARINE MARCHANDE,,,,OFFICE DE LA MARINE MARCHANDE,,?
41110114,OFFICE DES CEREALES MONASTIR,,,,OFFICE DES CEREALES MONASTIR,,MONASTIR
41110115,BANQUE CENTRALE TUNIS,,,,BANQUE CENTRALE TUNIS,,BANQUE CENTRAL TUNIS
41110116,POLICE EL BASSATINE MONASTIR,,,,POLICE EL BASSATINE MONASTIR,,CITE  EL BASSATINE MONASTIR
41110117,GOUVERNORAT DE SOUSSE (B. O. P),73 233 138,,,GOUVERNORAT DE SOUSSE (B. O. P),,GOUVERNORAT DE SOUSSE
41110118,AISSI DALILA MONASTIR,73 462 401,,,AISSI DALILA MONASTIR,,MONASTIR
41110119,HOPITAL DE WARDANINE,,,,HOPITAL DE WARDANINE,,WARDANINE
41110120,MUNICIPALITEDE WARDANINE,,,,MUNICIPALITEDE WARDANINE,,WARDANINE
41110121,POSTE POLICE MENZEL ENNOUR,,,,POSTE POLICE MENZEL ENNOUR,,MENZEL ENNOUR
41110122,GOUVERNORAT DE SOUSSE GARDE NATIONALE,,,,GOUVERNORAT DE SOUSSE GARDE NATIONALE,,GOUV SOUSSE GARDE NATIONALE
41110123,GOUVERNORAT DE MEDNINE CONSEIL,75 640 018,75 640 289,,GOUVERNORAT DE MEDNINE CONSEIL,,MEDNINE
41110124,MUNICIPALITEDE BENNANE-BDHEUR,98.637085,73.469396,CHOKR,MUNICIPALITEDE BENNANE-BDHEUR,,BENNANE-BDHEUR
41110125,SARTEX KSAR HELEL(sec.police),,,,SARTEX KSAR HELEL(sec.police),,SARTEX KSAR HELEL
41110126,CASERNA 18 JANVIER WARDANINE,,,,CASERNA 18 JANVIER WARDANINE,,CASERNA 18 JANVIER WARDANINE
41110128,C R D A MAHDIA,73.670 266,,,C R D A MAHDIA,,C R D A MAHDIA
41110129,DIRE.REG DE L'ENFANCE MONASTIR,,,,DIRE.REG DE L'ENFANCE MONASTIR,,DIRE.REG DE L'ENFANCE MONASTIR
41110130,DIRE.REG DE L'ENSGI KAIROUAN,,,,DIRE.REG DE L'ENSGI KAIROUAN,,RUE DE FAS KAIROUAN
41110131,CAPITAINERIE CAP MONASTIR,,,,CAPITAINERIE CAP MONASTIR,,CAPITAINERIE CAP MONASTIR
41110132,DIREC REG DE CONT.DEPEN.MONASTIR,73.425 872,73.425 872,,DIREC REG DE CONT.DEPEN.MONASTIR,,MONASTIR
41110133,DIREC REG DE LA SANTE MONASTIR,73.462 942,,,DIREC REG DE LA SANTE MONASTIR,,MONASTIR
41110134,GENERALE  DISTRIBUTION SFAX,74 226 225,,,GENERALE  DISTRIBUTION SFAX,,SFAX
41110135,CELLULE RCD-ONAS MONASTIR,73 504 848,73 504 849,EM EL AJMI+MANSOUR,CELLULE RCD-ONAS MONASTIR,,O N A S MONASTIR
41110136,BUREAU DE L EMPLOI KSAR HELEL,73 473 103,73 473 567,,BUREAU DE L EMPLOI KSAR HELEL,,BUREAU DE L EMPLOI KSAR HELEL
41110137,BUREAU REG DOUANE MONASTIR,73 460 655,73 460 655,RRAZAK,BUREAU REG DOUANE MONASTIR,,DOUANE MONASTIR
41110138,SNCFT GARE DE MONASTIR,,,,SNCFT GARE DE MONASTIR,,SNCFT GARE DE MONASTIR
41110139,SECTEUR POLICE SOUSSE,,,,SECTEUR POLICE SOUSSE,,SECTEUR POLICE SOUSSE
41110140,MUNICIPALITE DE TOUZA,73.489996,,,MUNICIPALITE DE TOUZA,,TOUZA
41110141,MUNICIPALITE DE SAYADA,73 430 093,,,MUNICIPALITE DE SAYADA,,MUNICIPALITE DE SAYADA
41110142,HOPITAL DE CHORBAN,73.600 002,,,HOPITAL DE CHORBAN,,HOPITAL DE CHORBAN
41110143,SECTEUR POLICE GROMBALIA,,,,SECTEUR POLICE GROMBALIA,,SECTEUR POLICE GROMBALIA
41110144,C S A ESSAADA TEBOULBA,,,,C S A ESSAADA TEBOULBA,,TEBOULBA
41110145,INSTITUT SUPERIEUR ETUDE TECHNO KSAR HELEL,,,,INSTITUT SUPERIEUR ETUDE TECHNO KSAR HELEL,,KSAR HELEL
41110146,CELLULE DE L'ORG TUNIS DE L'EDU,,,,CELLULE DE L'ORG TUNIS DE L'EDU,,TUNIS
